 Y coordinate : X coordinate : Time 
-56.77,26.71,4.39
-57.24,26.79,4.41
-57.65,26.85,4.42
-58.06,26.91,4.43
-58.5,26.98,4.44
-58.91,27.04,4.45
-59.34,27.1,4.47
-59.72,27.16,4.48
-60.12,27.22,4.49
-60.54,27.28,4.5
-60.92,27.34,4.51
-61.31,27.39,4.52
-61.75,27.46,4.53
-62.17,27.52,4.55
-62.63,27.59,4.56
-63.02,27.65,4.57
-63.42,27.7,4.58
-63.87,27.77,4.59
-64.26,27.82,4.6
-64.64,27.88,4.61
-65.04,27.94,4.63
-65.52,28.0,4.64
-65.91,28.06,4.65
-66.31,28.12,4.66
-66.76,28.18,4.67
-67.18,28.24,4.68
-67.59,28.3,4.69
-68.05,28.36,4.71
-68.46,28.42,4.72
-68.93,28.48,4.73
-69.43,28.55,4.74
-69.87,28.62,4.76
-70.36,28.68,4.77
-70.8,28.74,4.78
-71.25,28.81,4.79
-71.73,28.87,4.8
-72.18,28.93,4.81
-72.63,28.99,4.83
-73.12,29.06,4.84
-73.56,29.12,4.85
-74.05,29.19,4.86
-74.52,29.25,4.88
-74.99,29.31,4.89
-75.49,29.38,4.9
-75.94,29.44,4.91
-76.4,29.5,4.92
-76.9,29.57,4.94
-77.35,29.63,4.95
-77.86,29.69,4.96
-78.32,29.75,4.97
-78.78,29.81,4.98
-79.28,29.88,4.99
-79.73,29.94,5.01
-80.21,30.0,5.02
-80.72,30.07,5.03
-81.16,30.12,5.04
-81.61,30.18,5.05
-82.09,30.24,5.07
-82.63,30.31,5.08
-83.1,30.37,5.09
-83.58,30.43,5.1
-84.02,30.49,5.11
-84.45,30.54,5.12
-84.87,30.59,5.13
-85.32,30.65,5.14
-85.79,30.71,5.15
-86.27,30.77,5.16
-86.76,30.83,5.18
-87.26,30.89,5.19
-87.91,30.98,5.21
-88.62,31.06,5.22
-89.21,31.14,5.23
-89.73,31.2,5.25
-90.23,31.26,5.26
-90.76,31.33,5.27
-91.28,31.39,5.28
-91.79,31.45,5.29
-92.32,31.51,5.31
-92.83,31.58,5.32
-93.34,31.64,5.33
-93.8,31.69,5.34
-94.27,31.75,5.35
-94.74,31.81,5.36
-95.2,31.86,5.37
-95.68,31.92,5.38
-96.16,31.98,5.39
-96.63,32.03,5.4
-97.1,32.09,5.41
-97.58,32.14,5.43
-98.06,32.2,5.44
-98.54,32.26,5.45
-99.02,32.31,5.46
-99.5,32.37,5.47
-99.99,32.43,5.48
-100.52,32.49,5.49
-101.04,32.55,5.5
-101.53,32.6,5.51
